run_id,final_val_loss,best_epoch,accuracy,embed_dim,learning_rate,batch_size,dropout,duration_min
44,4.962678308486939,8,52.5546875,128,0.0005,1024,0.7,6.756663799285889
8,4.962844610214233,11,52.19140625000001,64,0.0005,1024,0.7,7.285283148288727
43,4.9632111835479735,10,52.4453125,128,0.0005,1024,0.5,7.605468817551931
41,4.964230785369873,7,53.0625,128,0.0005,1024,0.15,6.33445722659429
68,4.96428599357605,8,52.2734375,128,5e-05,1024,0.7,6.7532655715942385
19,4.964380216598511,4,52.19140625000001,64,0.0001,1024,0.5,4.657627816994985
29,4.965299797058106,5,52.0,64,5e-05,1024,0.15,5.032742536067962
6,4.9655043983459475,5,52.81249999999999,64,0.0005,1024,0.3,5.006557742754619
56,4.965630416870117,3,51.98437500000001,128,0.0001,1024,0.7,4.6489812930425005
18,4.966246337890625,3,51.94921875,64,0.0001,1024,0.3,4.267344717184702
20,4.966257610321045,10,52.54296875,64,0.0001,1024,0.7,6.957660845915476
7,4.966559247970581,2,52.36328125000001,64,0.0005,1024,0.5,3.836695114771525
55,4.966593141555786,2,51.88671875000001,128,0.0001,1024,0.5,4.237378275394439
17,4.966720952987671,3,52.25390625000001,64,0.0001,1024,0.15,4.304369453589121
65,4.967035131454468,3,52.06640625,128,5e-05,1024,0.15,4.64252112309138
30,4.967751731872559,6,52.37890625,64,5e-05,1024,0.3,5.420403281847636
32,4.967858362197876,13,51.99609375000001,64,5e-05,1024,0.7,8.082359166940053
42,4.968179922103882,1,52.41796875,128,0.0005,1024,0.3,3.809968948364258
66,4.968484792709351,4,52.09765625,128,5e-05,1024,0.3,5.072903084754944
54,4.96871675491333,2,52.10546874999999,128,0.0001,1024,0.3,4.2208604454994205
67,4.969112911224365,5,52.20312499999999,128,5e-05,1024,0.5,5.501249770323436
5,4.9691636180877685,1,52.30859375,64,0.0005,1024,0.15,3.433731190363566
53,4.969232244491577,1,51.83593749999999,128,0.0001,1024,0.15,3.811427915096283
59,4.969521312713623,2,52.00390625,128,0.0001,512,0.5,4.301252233982086
48,4.970082392692566,3,52.55078125,128,0.0005,512,0.7,4.721907858053843
12,4.970348200798035,1,51.80078125000001,64,0.0005,512,0.7,3.638537033398946
69,4.97044517993927,2,52.109375,128,5e-05,512,0.15,4.286364634831746
34,4.970526623725891,3,52.1328125,64,5e-05,512,0.3,4.486718650658926
31,4.970591096878052,9,52.296875,64,5e-05,1024,0.5,6.585444756348928
70,4.9714594745635985,2,51.94531249999999,128,5e-05,512,0.3,4.3065991799036665
60,4.971494455337524,2,51.72265625,128,0.0001,512,0.7,4.300816011428833
23,4.971615915298462,3,52.37500000000001,64,0.0001,512,0.5,4.467524731159211
22,4.972094607353211,2,52.08203125000001,64,0.0001,512,0.3,4.091568366686503
35,4.972469954490662,6,52.19921875,64,5e-05,512,0.5,5.69586220184962
57,4.972539019584656,1,51.87109375,128,0.0001,512,0.15,3.8703918933868406
33,4.972882471084595,2,51.74999999999999,64,5e-05,512,0.15,4.072823556264241
71,4.973663907051087,2,51.81640625,128,5e-05,512,0.5,4.30266440709432
58,4.973741731643677,1,51.82421874999999,128,0.0001,512,0.3,3.862168820699056
36,4.974622068405151,2,51.44921875,64,5e-05,512,0.7,4.067052519321441
11,4.974658026695251,1,51.8203125,64,0.0005,512,0.5,3.6362959146499634
21,4.9750946474075315,1,51.84375,64,0.0001,512,0.15,3.675411530335744
24,4.975546865463257,5,51.87109375,64,0.0001,512,0.7,5.275500988960266
47,4.975668153762817,1,52.609375,128,0.0005,512,0.5,3.8651978969573975
45,4.9789766550064085,1,52.46484375,128,0.0005,512,0.15,3.873621960481008
72,4.979924278259277,1,50.8515625,128,5e-05,512,0.7,3.868475310007731
9,4.9873311758041385,1,52.125,64,0.0005,512,0.15,3.6437016248703005
46,4.992935571670532,1,52.42578125,128,0.0005,512,0.3,3.864188877741496
10,4.994955134391785,1,52.59765625,64,0.0005,512,0.3,3.636723605791728
39,5.018652697404225,8,52.823893229166664,128,0.0005,2048,0.5,6.405703584353129
40,5.018695771694183,14,51.863606770833336,128,0.0005,2048,0.7,8.810226722558339
3,5.019967436790466,11,52.469889322916664,64,0.0005,2048,0.5,6.59960128068924
38,5.020950396855672,9,52.79541015625,128,0.0005,2048,0.3,6.81628870566686
2,5.0215282042821245,10,52.396647135416664,64,0.0005,2048,0.3,6.260992844899495
64,5.021935363610585,10,52.408854166666664,128,5e-05,2048,0.7,7.226757955551148
4,5.022002816200256,6,52.213541666666664,64,0.0005,2048,0.7,4.87367521127065
27,5.022712250550588,11,52.28271484375,64,5e-05,2048,0.5,6.623741932710012
63,5.022869984308879,5,52.180989583333336,128,5e-05,2048,0.5,5.220469268163045
62,5.0229067007700605,4,52.144368489583336,128,5e-05,2048,0.3,4.819971656799316
26,5.023544768492381,7,51.993815104166664,64,5e-05,2048,0.3,5.224666122595469
37,5.023930013179779,10,53.16162109375,128,0.0005,2048,0.15,7.2142815311749775
25,5.024438758691152,6,52.132161458333336,64,5e-05,2048,0.15,4.885843789577484
14,5.02489705880483,3,52.13623046875,64,0.0001,2048,0.3,3.859997113545736
16,5.025190492471059,8,52.1484375,64,0.0001,2048,0.7,5.580583985646566
51,5.025400479634603,3,51.949055989583336,128,0.0001,2048,0.5,4.416134548187256
52,5.025552411874135,7,52.323404947916664,128,0.0001,2048,0.7,6.018490680058798
13,5.025785903135936,3,52.058919270833336,64,0.0001,2048,0.15,3.8748820503552754
1,5.025988241036733,8,52.811686197916664,64,0.0005,2048,0.15,5.621109370390574
15,5.026042819023132,4,52.01416015625,64,0.0001,2048,0.5,4.198747897148133
50,5.026148736476898,2,51.86767578125,128,0.0001,2048,0.3,4.0207794825236
28,5.026295979817708,13,51.89208984375,64,5e-05,2048,0.7,7.317002054055532
61,5.027055819829305,3,52.25830078125,128,5e-05,2048,0.15,4.4248372157414755
49,5.028417368729909,3,52.2216796875,128,0.0001,2048,0.15,4.421538643042246
