hour_bin,total,errors,error_rate,label,feature,day,bin,avg_feature
0.0,1795,793,44.18,00:00-04:00 (Gece),Hour (Saat),,,
1.0,1803,812,45.04,04:00-08:00 (Sabah Erken),Hour (Saat),,,
2.0,1799,836,46.47,08:00-12:00 (Sabah),Hour (Saat),,,
3.0,1802,845,46.89,12:00-16:00 (Öğleden Sonra),Hour (Saat),,,
4.0,1799,827,45.97,16:00-20:00 (Akşam),Hour (Saat),,,
5.0,1800,790,43.89,20:00-24:00 (Gece Geç),Hour (Saat),,,
,1534,732,47.72,Pazartesi,Day (Gün),0.0,,
,1531,702,45.85,Salı,Day (Gün),1.0,,
,1543,708,45.88,Çarşamba,Day (Gün),2.0,,
,1559,713,45.73,Perşembe,Day (Gün),3.0,,
,1556,704,45.24,Cuma,Day (Gün),4.0,,
,1545,691,44.72,Cumartesi,Day (Gün),5.0,,
,1530,653,42.68,Pazar,Day (Gün),6.0,,
,2161,1255,58.07,0.347,RSI,,0.0,0.3473332430477983
,2154,983,45.64,0.452,RSI,,1.0,0.452199290647619
,2161,715,33.09,0.509,RSI,,2.0,0.5085564807599863
,2161,765,35.4,0.566,RSI,,3.0,0.5658059025863889
,2161,1185,54.84,0.676,RSI,,4.0,0.6763802426787374
,2159,842,39.0,0.391,Vol_Ratio,,0.0,0.39117784983691734
,2162,901,41.67,0.597,Vol_Ratio,,1.0,0.5972882606480874
,2154,925,42.94,0.809,Vol_Ratio,,2.0,0.8092194703216655
,2160,1010,46.76,1.142,Vol_Ratio,,3.0,1.1423110884251275
,2163,1225,56.63,2.248,Vol_Ratio,,4.0,2.2481153783342522
,2157,1380,63.98,0.046,BB_PctB,,0.0,0.04576976939364459
,2160,860,39.81,0.319,BB_PctB,,1.0,0.318555085161436
,2158,685,31.74,0.527,BB_PctB,,2.0,0.5266619622176587
,2162,757,35.01,0.715,BB_PctB,,3.0,0.714722504906977
,2161,1221,56.5,0.975,BB_PctB,,4.0,0.9752090337658336
,2152,975,45.31,0.003,ATR_Pct,,0.0,0.003108892207955682
,2162,959,44.36,0.005,ATR_Pct,,1.0,0.0049526540021378376
,2159,944,43.72,0.006,ATR_Pct,,2.0,0.006234121804082096
,2164,1003,46.35,0.008,ATR_Pct,,3.0,0.0076938404985489785
,2161,1022,47.29,0.011,ATR_Pct,,4.0,0.011484627726775531
